city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Unknown,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,10.0,0.0
Unknown,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,0.0,9.0
Unknown,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Abu Dhabi,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Unknown,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,34.0,0.0
Unknown,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,44.0,0.0
Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,82.0,0.0
Abu Dhabi,Mumbai Indians,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,0.0,8.0
Unknown,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,69.0,0.0
Unknown,Delhi Capitals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,13.0,0.0
Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0.0,8.0
Abu Dhabi,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,7.0
Unknown,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Punjab Kings,0.0,5.0
Unknown,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,0.0
